"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-12","2019","04","12","","15.2","","-4.5","","5.4","","12.6","","0.0","","","","","","0.0","","","","20","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-13","2019","04","13","","16.1","","3.3","","9.7","","8.3","","0.0","","","","","","0.2","","","","20","","41",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-14","2019","04","14","","14.3","","0.2","","7.3","","10.7","","0.0","","","","","","6.7","","","","23","","41",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-15","2019","04","15","","8.0","","3.6","","5.8","","12.2","","0.0","","","","","","18.0","","","","6","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-16","2019","04","16","","7.1","","1.7","","4.4","","13.6","","0.0","","","","","","4.3","","","","32","","72",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-17","2019","04","17","","12.2","","-2.4","","4.9","","13.1","","0.0","","","","","","0.0","","","","31","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-18","2019","04","18","","12.7","","-4.5","","4.1","","13.9","","0.0","","","","","","9.0","","","","23","","58",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-19","2019","04","19","","14.8","","5.0","","9.9","","8.1","","0.0","","","","","","6.2","","","","18","","45",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-20","2019","04","20","","7.3","","3.3","","5.3","","12.7","","0.0","","","","","","27.4","","","","6","","37",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-21","2019","04","21","","16.4","","3.2","","9.8","","8.2","","0.0","","","","","","1.0","","","","16","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-22","2019","04","22","","16.9","","5.8","","11.4","","6.6","","0.0","","","","","","0.0","","","","6","","32",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-23","2019","04","23","","5.8","","1.4","","3.6","","14.4","","0.0","","","","","","14.5","","","","2","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-24","2019","04","24","","5.2","","0.5","","2.9","","15.1","","0.0","","","","","","1.5","","","","32","","32",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-25","2019","04","25","","7.7","","-1.6","","3.1","","14.9","","0.0","","","","","","0.0","","","","36","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-26","2019","04","26","","10.7","","-1.0","","4.9","","13.1","","0.0","","","","","","2.8","","","","33","","50",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-27","2019","04","27","","11.8","","3.6","","7.7","","10.3","","0.0","","","","","","11.3","","","","11","","58",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-28","2019","04","28","","10.0","","0.5","","5.3","","12.7","","0.0","","","","","","0.0","","","","27","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-29","2019","04","29","","9.0","","-1.4","","3.8","","14.2","","0.0","","","","","","0.0","","","","31","","68",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-30","2019","04","30","","12.5","","-1.2","","5.7","","12.3","","0.0","","","","","","0.0","","","","32","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-01","2019","05","01","","11.1","","0.1","","5.6","","12.4","","0.0","","","","","","0.0","","","","33","","46",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-02","2019","05","02","","14.6","","0.8","","7.7","","10.3","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-03","2019","05","03","","15.0","","-1.2","","6.9","","11.1","","0.0","","","","","","1.2","","","","17","","33",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-04","2019","05","04","","14.9","","2.5","","8.7","","9.3","","0.0","","","","","","0.2","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-05","2019","05","05","","20.9","","0.9","","10.9","","7.1","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-06","2019","05","06","","20.9","","3.6","","12.3","","5.7","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-07","2019","05","07","","19.7","","1.6","","10.7","","7.3","","0.0","","","","","","4.0","","","","23","","46",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-08","2019","05","08","","12.6","","0.2","","6.4","","11.6","","0.0","","","","","","0.0","","","","32","","52",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-09","2019","05","09","","16.3","","-1.1","","7.6","","10.4","","0.0","","","","","","0.0","","","","33","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-10","2019","05","10","","7.6","","3.0","","5.3","","12.7","","0.0","","","","","","14.7","","","","15","","32",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-11","2019","05","11","","14.8","","4.3","","9.6","","8.4","","0.0","","","","","","0.0","","","","30","","59",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-12","2019","05","12","","15.8","","3.2","","9.5","","8.5","","0.0","","","","","","0.0","","","","33","","37",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-13","2019","05","13","","12.8","","2.1","","7.5","","10.5","","0.0","","","","","","0.0","","","","8","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-14","2019","05","14","","9.9","","2.5","","6.2","","11.8","","0.0","","","","","","11.1","","","","6","","52",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-15","2019","05","15","","5.6","","1.9","","3.8","","14.2","","0.0","","","","","","2.3","","","","2","","45",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-05-16","2019","05","16","","10.1","","3.5","","6.8","","11.2","","0.0","","","","","","0.6","","","","","M","","M"
